message,intent
My sister has a high fever and we are cut off by floods in Wellampitiya.,Medical
Donation drive happening at the town hall in Nuwara Eliya tomorrow.,Other
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
Does anyone have extra dry rations for the camp in Matara?,Supply
My grandmother has a high fever and we are cut off by floods in Wellampitiya.,Medical
SOS: 8 people trapped on a roof in Kandy. Water rising fast.,Rescue
Is the highway open? I need to get to the airport from Kegalle.,Utility
Requesting 500 liters of drinking water for the shelter in Kelaniya.,Supply
Helicopter rescue needed for a group of hikers in Wattala.,Rescue
Emergency: Tree fell on a house in Wellampitiya. 5 injured.,Medical
My dog is missing in Wellampitiya. Has anyone seen him?,Other
My brother has a high fever and we are cut off by floods in Ja-Ela.,Medical
Help! My sister is bedridden and the water is knee deep. Location: Kegalle.,Medical
Gampaha hospital is requesting drinking water and food for patients.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
We need milk powder and diapers for 11 babies at the Kandy camp.,Supply
I lost my ID card in the flood in Colombo. What should I do?,Other
BREAKING: Water levels in Kalu Ganga (Ratnapura) have reached 6.7 meters. Warning!,Utility
Gampaha hospital is requesting urgent medicine for 17 patients.,Medical
Help! My neighbor is bedridden and the water is knee deep. Location: Wellampitiya.,Medical
Help! My grandfather is bedridden and the water is knee deep. Location: Kolonnawa.,Medical
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
Road block at the entrance to the highway in Kegalle. Avoid the area.,Utility
Emergency: Tree fell on a house in Kandy. 7 injured.,Medical
We are trapped in the attic in Nuwara Eliya. 10 kids. Water is entering.,Rescue
Helicopter rescue needed for a group of hikers in Badulla.,Rescue
Helicopter rescue needed for a group of hikers in Ja-Ela.,Rescue
Just arrived at the shelter in Ratnapura. It's crowded but safe.,Other
Emergency: Nuwara Eliya area flooded. People stranded on top of a van.,Rescue
My sister has a high fever and we are cut off by floods in Ja-Ela.,Medical
My sister has a high fever and we are cut off by floods in Kegalle.,Medical
Requesting 500 liters of drinking water for the shelter in Matara.,Supply
The government has allocated relief funds for the Kandy district.,Other
The government has allocated relief funds for the Kelaniya district.,Other
Warning: Dengue risk is high in Kolonnawa due to stagnant water.,Medical
Is the highway open? I need to get to the airport from Kegalle.,Utility
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
My uncle is stuck in a tree in Kelaniya (immediate danger).,Rescue
SOS: 2 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
We need blankets and clothes for the children at the Ja-Ela school.,Supply
Electricity restored in some parts of Wellampitiya. Infrastructure stable.,Utility
Does anyone have extra dry rations for the camp in Kegalle?,Supply
We need milk powder and diapers for 12 babies at the Kolonnawa camp.,Supply
The government has allocated relief funds for the Matara district.,Other
Is the highway open? I need to get to the airport from Ratnapura.,Utility
Requesting 500 liters of drinking water for the shelter in Matara.,Supply
Is the highway open? I need to get to the airport from Colombo.,Utility
My sister has a high fever and we are cut off by floods in Kolonnawa.,Medical
SOS: 2 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Rescue needed: Pregnant woman in labor at Badulla. Cannot reach hospital.,Medical
We need blankets and clothes for the children at the Ratnapura school.,Supply
Emergency: Ja-Ela area flooded. People stranded on top of a van.,Rescue
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
SOS: 15 people trapped on a roof in Kandy. Water rising fast.,Rescue
Emergency: Tree fell on a house in Badulla. 14 injured.,Medical
Does anyone have extra dry rations for the camp in Colombo?,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Is the highway open? I need to get to the airport from Kolonnawa.,Utility
Electricity restored in some parts of Kelaniya. Infrastructure stable.,Utility
The government has allocated relief funds for the Badulla district.,Other
Does anyone have extra dry rations for the camp in Ja-Ela?,Supply
My uncle has a high fever and we are cut off by floods in Wellampitiya.,Medical
Boat capsized in Badulla. 10 people in the water. Need help!,Rescue
SOS: 11 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Rescue needed: Pregnant woman in labor at Badulla. Cannot reach hospital.,Medical
My dog is missing in Matara. Has anyone seen him?,Other
BREAKING: Water levels in Mahaweli River (Kelaniya) have reached 9.3 meters. Warning!,Utility
Just arrived at the shelter in Colombo. It's crowded but safe.,Other
Just saw on news that Kolonnawa town is flooded. Hope everyone is safe.,Other
Donation drive happening at the town hall in Ratnapura tomorrow.,Other
Warning: Dengue risk is high in Kandy due to stagnant water.,Medical
Is the highway open? I need to get to the airport from Nuwara Eliya.,Utility
We need blankets and clothes for the children at the Gampaha school.,Supply
My sister is stuck in a tree in Wattala (immediate danger).,Rescue
Is the highway open? I need to get to the airport from Kegalle.,Utility
Electricity restored in some parts of Badulla. Infrastructure stable.,Utility
BREAKING: Water levels in Nilwala River (Wellampitiya) have reached 9.9 meters. Warning!,Utility
Does anyone have extra dry rations for the camp in Matara?,Supply
Is the highway open? I need to get to the airport from Kegalle.,Utility
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
SOS: 12 people trapped on a roof in Colombo. Water rising fast.,Rescue
We need blankets and clothes for the children at the Nuwara Eliya school.,Supply
My grandmother has a high fever and we are cut off by floods in Matara.,Medical
Electricity restored in some parts of Kelaniya. Infrastructure stable.,Utility
Update: Kandy Road road cleared near Ja-Ela. Traffic moving slowly.,Utility
Gampaha hospital is requesting urgent medicine for 18 patients.,Medical
Rescue needed: Pregnant woman in labor at Kegalle. Cannot reach hospital.,Medical
Gampaha hospital is requesting drinking water and food for patients.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Does anyone have extra dry rations for the camp in Kelaniya?,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Warning: Dengue risk is high in Colombo due to stagnant water.,Medical
My grandfather is stuck in a tree in Matara (immediate danger).,Rescue
Does anyone have extra dry rations for the camp in Kolonnawa?,Supply
Does anyone have extra dry rations for the camp in Ratnapura?,Supply
Road block at the entrance to the highway in Kegalle. Avoid the area.,Utility
My grandmother is stuck in a tree in Wattala (immediate danger).,Rescue
We need milk powder and diapers for 8 babies at the Wellampitiya camp.,Supply
We need blankets and clothes for the children at the Kolonnawa school.,Supply
Is the highway open? I need to get to the airport from Gampaha.,Utility
My dog is missing in Kegalle. Has anyone seen him?,Other
Helicopter rescue needed for a group of hikers in Kandy.,Rescue
River overflow in Wattala. Level 7.2m. Critical warning issued.,Utility
Requesting 500 liters of drinking water for the shelter in Wattala.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Please pray for Sri Lanka. Stay safe everyone.,Other
Emergency: Tree fell on a house in Matara. 12 injured.,Medical
Donation drive happening at the town hall in Kelaniya tomorrow.,Other
Electricity restored in some parts of Ja-Ela. Infrastructure stable.,Utility
Just arrived at the shelter in Ja-Ela. It's crowded but safe.,Other
Does anyone have extra dry rations for the camp in Ratnapura?,Supply
Requesting 500 liters of drinking water for the shelter in Matara.,Supply
Just arrived at the shelter in Nuwara Eliya. It's crowded but safe.,Other
The government has allocated relief funds for the Ja-Ela district.,Other
SOS: 16 people trapped on a roof in Badulla. Water rising fast.,Rescue
Electricity restored in some parts of Gampaha. Infrastructure stable.,Utility
The government has allocated relief funds for the Kegalle district.,Other
Helicopter rescue needed for a group of hikers in Kelaniya.,Rescue
Update: Galle Road road cleared near Kolonnawa. Traffic moving slowly.,Utility
Gampaha hospital is requesting urgent medicine for 6 patients.,Medical
URGENT: Landslide in Kegalle. 7 houses buried. Need rescue team immediately.,Rescue
My dog is missing in Ja-Ela. Has anyone seen him?,Other
URGENT: Landslide in Badulla. 8 houses buried. Need rescue team immediately.,Rescue
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
Does anyone have extra dry rations for the camp in Kelaniya?,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
I lost my ID card in the flood in Kelaniya. What should I do?,Other
Electricity restored in some parts of Colombo. Infrastructure stable.,Utility
BREAKING: Water levels in Nilwala River (Kelaniya) have reached 10.2 meters. Warning!,Utility
Just saw on news that Badulla town is flooded. Hope everyone is safe.,Other
My brother is stuck in a tree in Matara (immediate danger).,Rescue
Gampaha hospital is requesting urgent medicine for 10 patients.,Medical
Electricity restored in some parts of Kelaniya. Infrastructure stable.,Utility
We are trapped in the attic in Ratnapura. 6 kids. Water is entering.,Rescue
Warning: Dengue risk is high in Wattala due to stagnant water.,Medical
The government has allocated relief funds for the Kelaniya district.,Other
Road block at the entrance to the highway in Ja-Ela. Avoid the area.,Utility
BREAKING: Water levels in Mahaweli River (Kegalle) have reached 5.1 meters. Warning!,Utility
Helicopter rescue needed for a group of hikers in Gampaha.,Rescue
URGENT: Landslide in Wellampitiya. 9 houses buried. Need rescue team immediately.,Rescue
SOS: 8 people trapped on a roof in Gampaha. Water rising fast.,Rescue
Rescue needed: Pregnant woman in labor at Nuwara Eliya. Cannot reach hospital.,Medical
Donation drive happening at the town hall in Kolonnawa tomorrow.,Other
Is the highway open? I need to get to the airport from Wellampitiya.,Utility
SOS: 18 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
We need milk powder and diapers for 20 babies at the Colombo camp.,Supply
We are trapped in the attic in Badulla. 4 kids. Water is entering.,Rescue
Help! My grandfather is bedridden and the water is knee deep. Location: Ja-Ela.,Medical
Help! My brother is bedridden and the water is knee deep. Location: Ratnapura.,Medical
Road block at the entrance to the highway in Kolonnawa. Avoid the area.,Utility
SOS: 16 people trapped on a roof in Kelaniya. Water rising fast.,Rescue
We need blankets and clothes for the children at the Kandy school.,Supply
My dog is missing in Wattala. Has anyone seen him?,Other
Emergency: Tree fell on a house in Ratnapura. 15 injured.,Medical
SOS: 2 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
Gampaha hospital is requesting urgent medicine for 5 patients.,Medical
Road block at the entrance to the highway in Colombo. Avoid the area.,Utility
Please pray for Sri Lanka. Stay safe everyone.,Other
Donation needed: 6 packets of rice and curry for lunch in Kandy.,Supply
We are trapped in the attic in Badulla. 14 kids. Water is entering.,Rescue
Requesting 500 liters of drinking water for the shelter in Nuwara Eliya.,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
SOS: 9 people trapped on a roof in Gampaha. Water rising fast.,Rescue
We are trapped in the attic in Ratnapura. 7 kids. Water is entering.,Rescue
Donation drive happening at the town hall in Kegalle tomorrow.,Other
Gampaha hospital is requesting urgent medicine for 4 patients.,Medical
Donation needed: 18 packets of rice and curry for lunch in Colombo.,Supply
Boat capsized in Wellampitiya. 8 people in the water. Need help!,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
Does anyone have extra dry rations for the camp in Kolonnawa?,Supply
Just arrived at the shelter in Badulla. It's crowded but safe.,Other
River overflow in Kandy. Level 7.8m. Critical warning issued.,Utility
Need ambulance to Kandy for an elderly person with chest pain.,Medical
Just arrived at the shelter in Wellampitiya. It's crowded but safe.,Other
Just saw on news that Badulla town is flooded. Hope everyone is safe.,Other
Emergency: Kegalle area flooded. People stranded on top of a van.,Rescue
Road block at the entrance to the highway in Kelaniya. Avoid the area.,Utility
The government has allocated relief funds for the Colombo district.,Other
Does anyone have extra dry rations for the camp in Kandy?,Supply
River overflow in Wattala. Level 11.1m. Critical warning issued.,Utility
I lost my ID card in the flood in Gampaha. What should I do?,Other
Electricity restored in some parts of Ja-Ela. Infrastructure stable.,Utility
URGENT: Landslide in Colombo. 12 houses buried. Need rescue team immediately.,Rescue
Just saw on news that Kandy town is flooded. Hope everyone is safe.,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
The government has allocated relief funds for the Kolonnawa district.,Other
Boat capsized in Ratnapura. 16 people in the water. Need help!,Rescue
Emergency: Tree fell on a house in Ja-Ela. 5 injured.,Medical
Update: Low Level Road road cleared near Wattala. Traffic moving slowly.,Utility
BREAKING: Water levels in Kalu Ganga (Kelaniya) have reached 7.6 meters. Warning!,Utility
The government has allocated relief funds for the Kelaniya district.,Other
Helicopter rescue needed for a group of hikers in Badulla.,Rescue
River overflow in Badulla. Level 6.8m. Critical warning issued.,Utility
Warning: Dengue risk is high in Kegalle due to stagnant water.,Medical
Update: High Level Road road cleared near Ratnapura. Traffic moving slowly.,Utility
Need ambulance to Gampaha for an elderly person with chest pain.,Medical
Does anyone have extra dry rations for the camp in Ratnapura?,Supply
Need ambulance to Nuwara Eliya for an elderly person with chest pain.,Medical
River overflow in Kegalle. Level 4.7m. Critical warning issued.,Utility
Update: Galle Road road cleared near Wattala. Traffic moving slowly.,Utility
Help! My neighbor is bedridden and the water is knee deep. Location: Kolonnawa.,Medical
Update: Low Level Road road cleared near Kandy. Traffic moving slowly.,Utility
Donation drive happening at the town hall in Gampaha tomorrow.,Other
Update: High Level Road road cleared near Nuwara Eliya. Traffic moving slowly.,Utility
Emergency: Kandy area flooded. People stranded on top of a van.,Rescue
River overflow in Colombo. Level 5.6m. Critical warning issued.,Utility
The government has allocated relief funds for the Badulla district.,Other
My sister has a high fever and we are cut off by floods in Wattala.,Medical
Gampaha hospital is requesting urgent medicine for 19 patients.,Medical
Is the highway open? I need to get to the airport from Wellampitiya.,Utility
Does anyone have extra dry rations for the camp in Wattala?,Supply
River overflow in Gampaha. Level 11.0m. Critical warning issued.,Utility
Emergency: Wattala area flooded. People stranded on top of a van.,Rescue
BREAKING: Water levels in Mahaweli River (Kandy) have reached 11.0 meters. Warning!,Utility
Rescue needed: Pregnant woman in labor at Kolonnawa. Cannot reach hospital.,Medical
The government has allocated relief funds for the Colombo district.,Other
Donation needed: 16 packets of rice and curry for lunch in Kandy.,Supply
My brother has a high fever and we are cut off by floods in Wattala.,Medical
Is the highway open? I need to get to the airport from Wattala.,Utility
BREAKING: Water levels in Kalu Ganga (Kolonnawa) have reached 10.6 meters. Warning!,Utility
Gampaha hospital is requesting urgent medicine for 11 patients.,Medical
Is the highway open? I need to get to the airport from Colombo.,Utility
Gampaha hospital is requesting urgent medicine for 11 patients.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
Road block at the entrance to the highway in Gampaha. Avoid the area.,Utility
Gampaha hospital is requesting urgent medicine for 11 patients.,Medical
I lost my ID card in the flood in Nuwara Eliya. What should I do?,Other
Warning: Dengue risk is high in Wellampitiya due to stagnant water.,Medical
Emergency: Colombo area flooded. People stranded on top of a van.,Rescue
We need milk powder and diapers for 17 babies at the Gampaha camp.,Supply
SOS: 14 people trapped on a roof in Ratnapura. Water rising fast.,Rescue
I lost my ID card in the flood in Ja-Ela. What should I do?,Other
We need blankets and clothes for the children at the Matara school.,Supply
My sister has a high fever and we are cut off by floods in Ratnapura.,Medical
Requesting 500 liters of drinking water for the shelter in Ratnapura.,Supply
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
The government has allocated relief funds for the Wattala district.,Other
Does anyone have extra dry rations for the camp in Badulla?,Supply
We need milk powder and diapers for 8 babies at the Gampaha camp.,Supply
I lost my ID card in the flood in Wattala. What should I do?,Other
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
BREAKING: Water levels in Nilwala River (Kandy) have reached 8.5 meters. Warning!,Utility
BREAKING: Water levels in Kalu Ganga (Wattala) have reached 10.9 meters. Warning!,Utility
My grandfather is stuck in a tree in Matara (immediate danger).,Rescue
Donation drive happening at the town hall in Badulla tomorrow.,Other
Just arrived at the shelter in Ja-Ela. It's crowded but safe.,Other
Boat capsized in Ratnapura. 9 people in the water. Need help!,Rescue
I lost my ID card in the flood in Kelaniya. What should I do?,Other
Gampaha hospital is requesting urgent medicine for 20 patients.,Medical
We need blankets and clothes for the children at the Kegalle school.,Supply
URGENT: Landslide in Ratnapura. 5 houses buried. Need rescue team immediately.,Rescue
River overflow in Ja-Ela. Level 6.9m. Critical warning issued.,Utility
My sister is stuck in a tree in Colombo (immediate danger).,Rescue
My dog is missing in Wellampitiya. Has anyone seen him?,Other
Does anyone have extra dry rations for the camp in Badulla?,Supply
My sister is stuck in a tree in Kolonnawa (immediate danger).,Rescue
Just saw on news that Colombo town is flooded. Hope everyone is safe.,Other
Rescue needed: Pregnant woman in labor at Kolonnawa. Cannot reach hospital.,Medical
Road block at the entrance to the highway in Badulla. Avoid the area.,Utility
Update: Kandy Road road cleared near Kolonnawa. Traffic moving slowly.,Utility
Donation needed: 18 packets of rice and curry for lunch in Matara.,Supply
My dog is missing in Kegalle. Has anyone seen him?,Other
Does anyone have extra dry rations for the camp in Ratnapura?,Supply
Help! My brother is bedridden and the water is knee deep. Location: Kegalle.,Medical
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Just saw on news that Colombo town is flooded. Hope everyone is safe.,Other
Help! My grandfather is bedridden and the water is knee deep. Location: Kelaniya.,Medical
Boat capsized in Gampaha. 16 people in the water. Need help!,Rescue
The government has allocated relief funds for the Nuwara Eliya district.,Other
I lost my ID card in the flood in Nuwara Eliya. What should I do?,Other
The government has allocated relief funds for the Matara district.,Other
My uncle has a high fever and we are cut off by floods in Wellampitiya.,Medical
We need milk powder and diapers for 8 babies at the Kelaniya camp.,Supply
The government has allocated relief funds for the Kandy district.,Other
Is the highway open? I need to get to the airport from Kolonnawa.,Utility
Is the highway open? I need to get to the airport from Matara.,Utility
I lost my ID card in the flood in Gampaha. What should I do?,Other
SOS: 19 people trapped on a roof in Badulla. Water rising fast.,Rescue
Need ambulance to Matara for an elderly person with chest pain.,Medical
Gampaha hospital is requesting drinking water and food for patients.,Supply
We need blankets and clothes for the children at the Kelaniya school.,Supply
Road block at the entrance to the highway in Wattala. Avoid the area.,Utility
Help! My neighbor is bedridden and the water is knee deep. Location: Ja-Ela.,Medical
My grandfather is stuck in a tree in Kelaniya (immediate danger).,Rescue
We need blankets and clothes for the children at the Kandy school.,Supply
Need ambulance to Kelaniya for an elderly person with chest pain.,Medical
My dog is missing in Matara. Has anyone seen him?,Other
Just saw on news that Ja-Ela town is flooded. Hope everyone is safe.,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
Update: Kandy Road road cleared near Colombo. Traffic moving slowly.,Utility
Does anyone have extra dry rations for the camp in Kandy?,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
We need blankets and clothes for the children at the Matara school.,Supply
Boat capsized in Badulla. 4 people in the water. Need help!,Rescue
SOS: 11 people trapped on a roof in Wattala. Water rising fast.,Rescue
Gampaha hospital is requesting urgent medicine for 4 patients.,Medical
My dog is missing in Ratnapura. Has anyone seen him?,Other
Is the highway open? I need to get to the airport from Kandy.,Utility
My neighbor is stuck in a tree in Kolonnawa (immediate danger).,Rescue
Need ambulance to Colombo for an elderly person with chest pain.,Medical
River overflow in Nuwara Eliya. Level 4.8m. Critical warning issued.,Utility
Rescue needed: Pregnant woman in labor at Wattala. Cannot reach hospital.,Medical
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Requesting 500 liters of drinking water for the shelter in Kandy.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
Just arrived at the shelter in Wellampitiya. It's crowded but safe.,Other
My sister is stuck in a tree in Ratnapura (immediate danger).,Rescue
Update: Low Level Road road cleared near Nuwara Eliya. Traffic moving slowly.,Utility
Boat capsized in Ja-Ela. 3 people in the water. Need help!,Rescue
Donation drive happening at the town hall in Kandy tomorrow.,Other
Road block at the entrance to the highway in Ja-Ela. Avoid the area.,Utility
URGENT: Landslide in Wattala. 2 houses buried. Need rescue team immediately.,Rescue
SOS: 11 people trapped on a roof in Ja-Ela. Water rising fast.,Rescue
Just arrived at the shelter in Gampaha. It's crowded but safe.,Other
Rescue needed: Pregnant woman in labor at Wellampitiya. Cannot reach hospital.,Medical
We need blankets and clothes for the children at the Kegalle school.,Supply
My grandfather has a high fever and we are cut off by floods in Kandy.,Medical
URGENT: Landslide in Wattala. 11 houses buried. Need rescue team immediately.,Rescue
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
Electricity restored in some parts of Gampaha. Infrastructure stable.,Utility
Update: Low Level Road road cleared near Colombo. Traffic moving slowly.,Utility
We need milk powder and diapers for 3 babies at the Kandy camp.,Supply
SOS: 13 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
Help! My sister is bedridden and the water is knee deep. Location: Badulla.,Medical
Emergency: Badulla area flooded. People stranded on top of a van.,Rescue
Requesting 500 liters of drinking water for the shelter in Ja-Ela.,Supply
Just saw on news that Matara town is flooded. Hope everyone is safe.,Other
SOS: 7 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
Need ambulance to Gampaha for an elderly person with chest pain.,Medical
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
The government has allocated relief funds for the Wattala district.,Other
Gampaha hospital is requesting urgent medicine for 19 patients.,Medical
Rescue needed: Pregnant woman in labor at Kelaniya. Cannot reach hospital.,Medical
I lost my ID card in the flood in Kegalle. What should I do?,Other
Emergency: Tree fell on a house in Wellampitiya. 17 injured.,Medical
Road block at the entrance to the highway in Kegalle. Avoid the area.,Utility
Emergency: Badulla area flooded. People stranded on top of a van.,Rescue
My dog is missing in Colombo. Has anyone seen him?,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
Help! My grandfather is bedridden and the water is knee deep. Location: Nuwara Eliya.,Medical
SOS: 9 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
Gampaha hospital is requesting urgent medicine for 11 patients.,Medical
Gampaha hospital is requesting urgent medicine for 17 patients.,Medical
River overflow in Gampaha. Level 11.2m. Critical warning issued.,Utility
My dog is missing in Ratnapura. Has anyone seen him?,Other
Help! My brother is bedridden and the water is knee deep. Location: Matara.,Medical
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
My dog is missing in Ja-Ela. Has anyone seen him?,Other
I lost my ID card in the flood in Wellampitiya. What should I do?,Other
Just saw on news that Kandy town is flooded. Hope everyone is safe.,Other
URGENT: Landslide in Ratnapura. 8 houses buried. Need rescue team immediately.,Rescue
Just arrived at the shelter in Ratnapura. It's crowded but safe.,Other
Does anyone have extra dry rations for the camp in Kandy?,Supply
Donation needed: 19 packets of rice and curry for lunch in Ratnapura.,Supply
My dog is missing in Kandy. Has anyone seen him?,Other
We need milk powder and diapers for 19 babies at the Kandy camp.,Supply
My neighbor has a high fever and we are cut off by floods in Badulla.,Medical
Is the highway open? I need to get to the airport from Kegalle.,Utility
Just arrived at the shelter in Kandy. It's crowded but safe.,Other
Electricity restored in some parts of Wattala. Infrastructure stable.,Utility
Need ambulance to Badulla for an elderly person with chest pain.,Medical
Need ambulance to Ja-Ela for an elderly person with chest pain.,Medical
Help! My uncle is bedridden and the water is knee deep. Location: Kelaniya.,Medical
Gampaha hospital is requesting urgent medicine for 2 patients.,Medical
My dog is missing in Kegalle. Has anyone seen him?,Other
Does anyone have extra dry rations for the camp in Kandy?,Supply
I lost my ID card in the flood in Nuwara Eliya. What should I do?,Other
Helicopter rescue needed for a group of hikers in Wellampitiya.,Rescue
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Gampaha hospital is requesting urgent medicine for 2 patients.,Medical
SOS: 14 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
SOS: 13 people stranded on a rock in Mahaweli River. Water rising rapidly.,Rescue
Update: Galle Road road cleared near Kelaniya. Traffic moving slowly.,Utility
We need milk powder and diapers for 19 babies at the Ja-Ela camp.,Supply
We need blankets and clothes for the children at the Wattala school.,Supply
I lost my ID card in the flood in Gampaha. What should I do?,Other
Boat capsized in Kegalle. 16 people in the water. Need help!,Rescue
I lost my ID card in the flood in Kelaniya. What should I do?,Other
SOS: 13 people trapped on a roof in Ratnapura. Water rising fast.,Rescue
Just saw on news that Ja-Ela town is flooded. Hope everyone is safe.,Other
Requesting 500 liters of drinking water for the shelter in Wattala.,Supply
The government has allocated relief funds for the Wattala district.,Other
Is the highway open? I need to get to the airport from Kegalle.,Utility
The government has allocated relief funds for the Ratnapura district.,Other
Is the highway open? I need to get to the airport from Wattala.,Utility
Does anyone have extra dry rations for the camp in Gampaha?,Supply
Donation needed: 2 packets of rice and curry for lunch in Matara.,Supply
Just saw on news that Ratnapura town is flooded. Hope everyone is safe.,Other
My neighbor has a high fever and we are cut off by floods in Ratnapura.,Medical
Help! My grandmother is bedridden and the water is knee deep. Location: Kandy.,Medical
My dog is missing in Gampaha. Has anyone seen him?,Other
SOS: 13 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
Just arrived at the shelter in Kolonnawa. It's crowded but safe.,Other
We are trapped in the attic in Kegalle. 7 kids. Water is entering.,Rescue
Donation needed: 15 packets of rice and curry for lunch in Kegalle.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
Emergency: Colombo area flooded. People stranded on top of a van.,Rescue
Donation drive happening at the town hall in Kolonnawa tomorrow.,Other
Just saw on news that Ratnapura town is flooded. Hope everyone is safe.,Other
River overflow in Badulla. Level 7.3m. Critical warning issued.,Utility
Does anyone have extra dry rations for the camp in Wellampitiya?,Supply
Emergency: Wellampitiya area flooded. People stranded on top of a van.,Rescue
Just arrived at the shelter in Kolonnawa. It's crowded but safe.,Other
Emergency: Tree fell on a house in Kandy. 16 injured.,Medical
My neighbor is stuck in a tree in Matara (immediate danger).,Rescue
Emergency: Tree fell on a house in Kolonnawa. 2 injured.,Medical
URGENT: Landslide in Ratnapura. 4 houses buried. Need rescue team immediately.,Rescue
Donation needed: 14 packets of rice and curry for lunch in Nuwara Eliya.,Supply
River overflow in Kandy. Level 5.9m. Critical warning issued.,Utility
Warning: Dengue risk is high in Ja-Ela due to stagnant water.,Medical
We need blankets and clothes for the children at the Kandy school.,Supply
We need blankets and clothes for the children at the Nuwara Eliya school.,Supply
My brother is stuck in a tree in Kolonnawa (immediate danger).,Rescue
Is the highway open? I need to get to the airport from Matara.,Utility
Just saw on news that Kandy town is flooded. Hope everyone is safe.,Other
Just arrived at the shelter in Nuwara Eliya. It's crowded but safe.,Other
The government has allocated relief funds for the Ja-Ela district.,Other
Warning: Dengue risk is high in Colombo due to stagnant water.,Medical
Rescue needed: Pregnant woman in labor at Kandy. Cannot reach hospital.,Medical
We need milk powder and diapers for 12 babies at the Ratnapura camp.,Supply
The government has allocated relief funds for the Gampaha district.,Other
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
I lost my ID card in the flood in Kolonnawa. What should I do?,Other
Road block at the entrance to the highway in Matara. Avoid the area.,Utility
Emergency: Colombo area flooded. People stranded on top of a van.,Rescue
We need blankets and clothes for the children at the Badulla school.,Supply
Is the highway open? I need to get to the airport from Ratnapura.,Utility
Update: Low Level Road road cleared near Colombo. Traffic moving slowly.,Utility
Donation needed: 19 packets of rice and curry for lunch in Wellampitiya.,Supply
Warning: Dengue risk is high in Kolonnawa due to stagnant water.,Medical
The government has allocated relief funds for the Wellampitiya district.,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
Electricity restored in some parts of Ratnapura. Infrastructure stable.,Utility
River overflow in Wellampitiya. Level 9.6m. Critical warning issued.,Utility
Does anyone have extra dry rations for the camp in Nuwara Eliya?,Supply
My dog is missing in Badulla. Has anyone seen him?,Other
BREAKING: Water levels in Mahaweli River (Badulla) have reached 7.7 meters. Warning!,Utility
The government has allocated relief funds for the Ratnapura district.,Other
We need milk powder and diapers for 13 babies at the Ja-Ela camp.,Supply
Helicopter rescue needed for a group of hikers in Kelaniya.,Rescue
Rescue needed: Pregnant woman in labor at Kegalle. Cannot reach hospital.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
We need blankets and clothes for the children at the Kolonnawa school.,Supply
My dog is missing in Kolonnawa. Has anyone seen him?,Other
Helicopter rescue needed for a group of hikers in Wattala.,Rescue
The government has allocated relief funds for the Kandy district.,Other
We need blankets and clothes for the children at the Ja-Ela school.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
